Ref,Val,Package,PosX,PosY,Rot,Side
"H1","Hole","Mounting_Wuerth_WA-SMSI-M2_H3.5mm_9774035243",193.675000,-132.556250,0.000000,top
"H2","Hole","Mounting_Wuerth_WA-SMSI-M2_H3.5mm_9774035243",-114.300000,-167.084375,0.000000,top
"H3","Hole","Mounting_Wuerth_WA-SMSI-M2_H3.5mm_9774035243",186.928125,-174.625000,0.000000,top
"H4","Hole","Mounting_Wuerth_WA-SMSI-M2_H3.5mm_9774035243",74.612500,-189.706250,0.000000,top
"H5","Hole","Mounting_Wuerth_WA-SMSI-M2_H3.5mm_9774035243",-1.587500,-189.706250,0.000000,top
"H7","Hole","Mounting_Wuerth_WA-SMSI-M2_H3.5mm_9774035243",-119.062500,-138.509375,0.000000,top
"H8","Hole","Mounting_Wuerth_WA-SMSI-M2_H3.5mm_9774035243",-1.587500,-132.556250,0.000000,top
"H10","Hole","Mounting_Wuerth_WA-SMSI-M2_H3.5mm_9774035243",74.612500,-132.556250,0.000000,top
